paper name,price,date sec,page url id
Tesla,168.29,1710796901,1
NVIDIA Corp,877.35,1710796901,1
S&P 500,5110.96,1710796950,1
Tesla,168.29,1714398188,1
NVIDIA Corp,877.35,1714398195,1
S&P 500,5107.07,1714398202,1
EURPLN,4.32935,1714398209,1
S&P 500,5105.69,1714398238,1
NVIDIA Corp,877.35,1714398246,1
EURPLN,4.32934,1714398253,1
Tesla,168.29,1714398260,1
S&P 500,5111.16,1714398632,1
Tesla,187.96,1714398639,1
NVIDIA Corp,870.9475,1714398646,1
Tesla,193.6538,1714417299,1
NVIDIA Corp,874.8173,1714417306,1
S&P 500,5103.29,1714417313,1
